-0.302142 0.629646	-0.468646 -0.437506	0.751303 0.319782	0.384374 0.752014	0.603867 0.790833	0.290540 -0.494219	0.653237 0.502880	0.387346 -0.803606	0.639781 0.500007	0.692389 0.500295	0.204144 -0.447248	0.443633 0.882135	0.368019 0.799485	0.560744 0.607400	0.339973 0.029546	-0.102781 -0.829903	-0.864264 0.130356	-0.810361 0.809437	-0.367139 0.791816	-0.625853 0.309730	
-0.705555 0.019823	-1.333236 -1.214878	0.103783 -0.349580	0.517672 0.460776	-0.357005 0.593315	-0.630815 -1.472039	0.256505 0.117103	0.848317 -0.228385	0.870318 1.440386	1.319092 0.860438	0.669272 -1.288158	0.063813 0.182692	0.007582 0.976292	0.208046 0.194218	-0.316286 0.238033	-0.055339 -1.748984	-1.403255 -0.444124	-1.231978 0.633185	-0.312916 -0.198386	-0.535050 1.265090	
-1.188221 0.465281	-2.086944 -1.272559	0.974596 0.197450	1.301994 -0.358845	0.416852 0.996817	-0.500218 -2.049529	-0.113673 0.373165	1.723022 0.418065	0.443526 0.968518	1.910136 1.257881	0.796303 -1.161266	-0.060007 0.611278	-0.676526 1.359907	-0.758284 0.778843	-0.079300 0.824338	0.343262 -0.829401	-0.444019 -0.171845	-0.702243 0.606771	0.187081 -1.009806	-1.469072 1.271828	
-1.518883 0.832057	-2.842175 -1.220841	1.837722 0.031597	2.262760 -0.478300	1.127017 0.474770	-0.148385 -1.141975	0.066868 -0.064923	1.166469 0.128969	-0.068543 1.244397	1.525752 1.104783	-0.022294 -0.627936	-0.614553 -0.124720	-0.954295 0.371953	-1.574923 0.671182	0.160332 0.330621	1.165330 -0.114353	-0.022055 -1.035420	-1.660788 0.152967	0.961419 -0.827858	-0.660076 1.579898	
-0.988615 0.618001	-3.811397 -0.855310	1.416458 0.744779	2.291843 0.006157	2.112615 -0.008110	-0.504890 -1.741673	0.959832 0.524920	0.483746 0.536733	0.742710 1.134040	1.645359 1.058432	-0.073981 -1.416872	-0.763639 -0.458646	-0.626603 1.000403	-1.968970 1.224321	-0.749466 -0.543563	0.889891 0.856901	0.439128 -1.000645	-1.202085 -0.565935	1.670203 -1.314056	-1.076904 2.210866	
-1.673840 -0.037290	-3.242645 -1.228255	1.482761 1.154606	2.403754 0.609758	1.817756 -0.282686	-1.286947 -1.400252	1.047945 -0.314578	-0.341947 0.579221	-0.251878 1.173331	0.718635 0.869009	0.849851 -1.907678	-1.217941 -0.282905	-1.450531 0.205402	-1.680638 1.025379	-0.233922 0.057070	0.811175 1.775630	1.100118 -0.426093	-1.526591 -0.294470	1.844990 -0.756239	-0.509877 1.369072	
-1.024308 0.515181	-3.700039 -1.261187	1.254729 0.322053	1.407317 1.446875	1.676308 -0.599296	-1.204518 -1.435686	0.078545 -1.269544	-0.820518 0.890435	-0.433868 1.552087	0.079632 0.081863	-0.040202 -1.401239	-1.738889 -0.317876	-1.654368 0.850474	-1.429307 0.326150	0.197830 1.018966	0.928845 1.060467	1.853049 0.463340	-2.254673 -0.334924	2.359313 0.206354	-1.058919 1.466621	
-0.130019 -0.325239	-4.641053 -1.403934	0.988751 -0.029780	1.498945 1.619098	0.985810 -0.566051	-1.662182 -1.311689	-0.101779 -0.670128	-0.888535 0.114733	0.431097 1.634747	0.646274 -0.808845	0.892610 -1.833750	-2.388451 -1.118877	-1.568899 1.189160	-1.964287 0.963850	0.508872 1.954201	0.206962 2.059939	2.021806 1.294392	-1.271657 -0.099492	2.685931 0.078154	-0.103721 1.596427	
-0.021454 -0.829559	-4.695250 -0.947095	1.944037 -0.313819	0.629001 1.197017	0.836157 -1.021857	-1.160849 -1.156738	0.174420 -0.248840	-0.112242 0.969947	0.193190 1.971725	0.489201 -1.334749	0.477833 -1.616843	-2.694899 -0.702884	-2.167468 1.396617	-2.105662 1.357485	-0.374528 2.662465	-0.321727 1.440009	2.785136 1.748571	-1.735070 -0.385303	1.858565 -0.118887	-0.196898 1.490174	
-0.417237 0.081946	-5.630640 -1.161700	1.589522 -0.343415	-0.348409 0.561090	1.249880 -1.327692	-1.826816 -2.074829	-0.590058 0.505901	0.057359 1.260880	0.386495 2.385410	0.322839 -1.532871	0.856848 -1.213245	-2.218151 -0.089062	-3.076352 1.877233	-2.042688 1.981181	-0.592986 2.479714	-1.162102 2.052634	2.611063 1.005572	-1.942660 0.083463	2.316632 -0.156631	-0.951147 2.163050	
0.473791 -0.285613	-5.191457 -1.856745	0.638224 -0.744007	0.197868 0.899055	1.113500 -1.365535	-2.539150 -2.443530	-0.560479 1.411930	0.328899 1.251458	0.179058 2.077801	1.275147 -1.481743	0.254012 -0.523746	-2.866381 0.271627	-2.754598 1.699199	-1.622517 1.661818	-0.729207 2.069424	-0.704529 1.971826	3.199671 1.861860	-2.474364 0.347444	3.003164 -1.090030	-0.229836 1.310546	
1.161106 -0.004876	-4.585185 -1.594107	-0.285494 -0.307244	0.197267 1.349125	1.330993 -0.379939	-1.740538 -3.273699	-1.554290 2.058448	-0.640311 1.094448	0.017054 1.434089	2.052748 -0.497825	-0.442492 -0.095320	-2.241855 0.993434	-3.538966 1.440712	-1.582187 1.445250	-0.027781 2.967623	0.284884 1.248399	3.000169 2.756445	-2.601185 0.196170	3.339947 -0.548914	0.048636 1.832763	
0.195826 -0.321799	-4.734436 -2.496413	-0.636018 -1.215680	0.363538 0.667349	1.127470 -0.685333	-1.019267 -3.948636	-1.907005 2.920577	-1.001267 1.495467	0.536824 0.708658	2.500856 -0.789620	0.083948 0.324145	-2.410283 1.686303	-2.995352 1.167568	-1.072826 0.631191	0.094777 2.140734	0.412547 1.278911	3.434489 3.123147	-1.861821 -0.769077	2.352654 0.446157	-0.532651 1.933906	
-0.800935 0.522060	-4.445270 -2.021985	0.235381 -0.802957	-0.519849 0.376478	1.323343 0.176452	-1.226563 -3.680406	-1.489942 2.761045	-1.367074 1.568478	0.793881 1.442627	2.900325 -1.452771	0.037342 -0.006457	-1.622198 2.628177	-2.555811 1.290986	-1.139840 1.205899	1.086018 1.179553	0.412777 1.523423	4.013875 3.522162	-1.861338 -1.482176	2.126621 0.456823	-0.689961 2.496263	
0.056415 0.011376	-4.728568 -1.744221	-0.607352 -1.304724	0.286051 0.495328	1.958671 0.791555	-1.097084 -3.930876	-0.510642 2.249339	-2.268906 1.342737	1.686390 2.069558	2.125263 -2.022489	-0.557223 0.880622	-1.068213 3.355628	-2.026065 1.710453	-0.588838 0.902569	1.131579 1.844802	1.088576 2.520975	4.875362 2.729609	-2.041861 -0.747993	1.343620 1.161914	-1.537970 2.960434	
0.635544 -0.702007	-4.143780 -2.313023	-1.181106 -2.128623	1.041169 -0.388082	2.394349 1.661725	-0.330668 -3.899531	-1.455757 1.863437	-1.388894 2.196662	2.060755 2.556146	1.657696 -2.583197	-1.291126 0.233903	-0.801490 3.687975	-1.996384 1.610906	-0.457544 1.325671	1.069472 0.923203	0.116732 3.300520	4.381099 3.365676	-1.393625 -1.041869	1.263105 0.326583	-0.678736 3.593342	
